Длина файла в байтах: 441033
Длина файла в битах: 3528264
Таблица характеристик символов по алфавиту:
Символ: 0x0a, Вхождений: 7653, Вероятность: 0.017352, Информация: 5.848717
Символ: 0x20, Вхождений: 74143, Вероятность: 0.168112, Информация: 2.572504
Символ: 0x21, Вхождений: 239, Вероятность: 0.000542, Информация: 10.849660
Символ: 0x22, Вхождений: 796, Вероятность: 0.001805, Информация: 9.113902
Символ: 0x23, Вхождений: 1, Вероятность: 0.000002, Информация: 18.750527
Символ: 0x24, Вхождений: 2, Вероятность: 0.000005, Информация: 17.750527
Символ: 0x25, Вхождений: 1, Вероятность: 0.000002, Информация: 18.750527
Символ: 0x27, Вхождений: 229, Вероятность: 0.000519, Информация: 10.911323
Символ: 0x28, Вхождений: 39, Вероятность: 0.000088, Информация: 13.465125
Символ: 0x29, Вхождений: 39, Вероятность: 0.000088, Информация: 13.465125
Символ: 0x2a, Вхождений: 28, Вероятность: 0.000063, Информация: 13.943172
Символ: 0x2c, Вхождений: 5097, Вероятность: 0.011557, Информация: 6.435094
Символ: 0x2d, Вхождений: 445, Вероятность: 0.001009, Информация: 9.952866
Символ: 0x2e, Вхождений: 3124, Вероятность: 0.007083, Информация: 7.141348
Символ: 0x2f, Вхождений: 24, Вероятность: 0.000054, Информация: 14.165565
Символ: 0x30, Вхождений: 21, Вероятность: 0.000048, Информация: 14.358210
Символ: 0x31, Вхождений: 92, Вероятность: 0.000209, Информация: 12.226965
Символ: 0x32, Вхождений: 24, Вероятность: 0.000054, Информация: 14.165565
Символ: 0x33, Вхождений: 18, Вероятность: 0.000041, Информация: 14.580602
Символ: 0x34, Вхождений: 17, Вероятность: 0.000039, Информация: 14.663064
Символ: 0x35, Вхождений: 16, Вероятность: 0.000036, Информация: 14.750527
Символ: 0x36, Вхождений: 10, Вероятность: 0.000023, Информация: 15.428599
Символ: 0x37, Вхождений: 23, Вероятность: 0.000052, Информация: 14.226965
Символ: 0x38, Вхождений: 20, Вероятность: 0.000045, Информация: 14.428599
Символ: 0x39, Вхождений: 13, Вероятность: 0.000029, Информация: 15.050087
Символ: 0x3a, Вхождений: 68, Вероятность: 0.000154, Информация: 12.663064
Символ: 0x3b, Вхождений: 970, Вероятность: 0.002199, Информация: 8.828686
Символ: 0x3f, Вхождений: 220, Вероятность: 0.000499, Информация: 10.969167
Символ: 0x40, Вхождений: 2, Вероятность: 0.000005, Информация: 17.750527
Символ: 0x41, Вхождений: 428, Вероятность: 0.000970, Информация: 10.009060
Символ: 0x42, Вхождений: 260, Вероятность: 0.000590, Информация: 10.728159
Символ: 0x43, Вхождений: 190, Вероятность: 0.000431, Информация: 11.180671
Символ: 0x44, Вхождений: 144, Вероятность: 0.000327, Информация: 11.580602
